id,description
3109,Marché aux Halles  - Tous les jeudis de l'année de 8h - 13h
3114,Marché aux Halles  - Tous les jeudis de l'année de 8h - 13h
9891,"Visite guidée ""L'art de la pêche palavasienne"" avec l'Office de Tourisme de Palavas-les-Flots - Sur réservation – Tarif : 5€/adulte et 3€/enfant – Infos : 04 67 07 73 34 - Réservation au comptoir ou sur la billetterie en ligne de l'Office de Tourisme : https://billetterie.ot-palavaslesflots.com/

Découvrez l'histoire fascinante de la pêche à Palavas-les-Flots, où le passé maritime se mêle à un riche patrimoine culturel. Au cours de cette visite guidée, vous explorerez les techniques de pêche traditionnelles qui façonnent la vie locale et profiterez de nombreuses anecdotes sur la vie d’autrefois.
Plongez dans l'univers des pêcheurs ! 

* Pendant la saison estivale, nous vous conseillons de vous munir d'un chapeau ou d'une casquette, d'une crème solaire et d'une bouteille d'eau.

 
Toutes les dates de la visite guidée ""Le charme de la nature"" pour l'année 2025 :
Mars : 05/03 de 14h30 à 16h30 
Avril : 09/04 & 23/04 de 14h30 à 16h30 
Juin : 05/06 de 18h à 20h
Juillet : 05/07, 16/07, 23/07 & 31/07 de 9h à 11h ; 10/07 de 18h à 20h
Août : 07/08, 17/08, 21/08 & 27/08 de 9h à 11h ; 13/08 de 18h à 20h
Septembre : 20/09, 21/09 de 9h30 à 11h30
Octobre : 28/10 de 14h30 à 16h30"
2263,"de 6h à 13h30

Mercredi :  parking de la Maison de retraite (rive gauche) toute l'année
Vendredi :  promenade du Pot de plaisance (rive droite) toute l'année
Dimanche : parking de la Maison de retraite (rive gauche) de mi-juin à fin août

Plus d'infos au 04 67 07 73 34"
5103,Marché aux Halles  - Tous les jeudis de l'année de 8h - 13h
5105,Marché aux Halles  - Tous les jeudis de l'année de 8h - 13h
10246,"De 9h30 à 11h00 : Châteaux de sable pour les enfants - Gratuit, sur réservation (places limitées à 15 enfants) - Office de Tourisme de Palavas-les-Flots - Réservation au comptoir de l'Office de Tourisme, sur notre billetterie en ligne (ouverture des créneaux en ligne prochainement) ou par téléphone au 04 67 07 73 34

Le Week-End Famille Plus pour Pâques fait son grand retour à l'Office de Tourisme de Palavas-les-Flots du samedi 19 avril au lundi 21 avril ! 
À cette occasion, de nombreuses activités (la plupart gratuites) sont organisées pour les enfants à l'Office de Tourisme : Concours de dessin, chasses aux œufs, châteaux de sable, jeux géants en bois, ateliers créatifs et séance de maquillages, chasses aux trésors, visites guidées...
Des prestataires seront également de la partie et proposeront des activités gratuites !

En résumé, le Week-End Famille Plus c'est : 3 jours d'animations, de cadeaux et de surprises pour tous les enfants !"
1419,Marché aux Halles  - Tous les samedis de l'année de 8h - 13h
5369,"Bouj’an Courant : édition 2025.

Départ aux Arènes :

9h30 : Courses enfants (gratuit).

10h30 : Courses 5 km (5euros) et 10 km (10euros).

Les inscriptions 2024 restent valables sinon, pensez à vous inscrire.

Mettre à jour votre Parcours de Prévention Santé (PPS) à partir du 19 février.

Déguisements conseillés - Paella offerte à tous les participants."
5017,MARCHE TRADITIONNEL PLEIN VENT - Tous les mercredis d'Avril à Octobre - 8h/13h
10219,Marché aux Halles  - Tous les jeudis de l'année de 8h - 13h
10223,Marché aux Halles  - Tous les jeudis de l'année de 8h - 13h
10227,Marché aux Halles  - Tous les jeudis de l'année de 8h - 13h
6282,"Tous les dimanches, venez tenter votre chance lors du loto du Poujol sur Orb, organisé par les associations du village 
Retrouvez la liste des organisateurs en photo.
Salle Polyvalente du Poujol sur Orb à 16h30"
10411,Marché aux Halles  - Tous les samedis de l'année de 8h - 13h
10432,Marché aux Halles  - Tous les samedis de l'année de 8h - 13h
2737,"De 9h30 à 12h30

Atelier Découverte de la réalité virtuelle

Plongez dans un monde d'immersion ultime.

Médiathèque Saint-Exupéry

à partir de 8 ans

Sur inscription

Infos : 04 67 50 42 49"
10431,Marché aux Halles  - Tous les samedis de l'année de 8h - 13h
20,"Marché traditionnel, de 6h30 à 13h, place de la République : 
   > du 1er avril au 30 septembre : tous les jours
   > d'octobre à mars : tous les jeudis et dimanches"
4795,"Marché du Terroir et de l'artisanat sur la promenade de 18h30 à 23h.
Nombreux artisans et producteurs, animation musicale, buvette et restauration"
